ANO;M“S;REGIONAL;MODALIDADE;OPERADOR;DISTRITO;MASSA (t);VIAGENS;PERCURSO (Km);Hora (h:mm);DIAS;COLETORES;HORAS;CLASSE
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.14A;180,56;18;1.196,00;76:10:00;13;;76,17;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.18DA;158,52;17;1.252,00;85:45:00;13;;85,75;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.19A;190,30;17;1.156,00;72:25:00;13;;72,42;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.21A;186,89;17;1.111,00;79:45:00;13;;79,75;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.22A;202,81;18;1.384,00;88:25:00;13;;88,42;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.24A;158,82;18;1.209,00;74:25:00;13;;74,42;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.25A;178,58;17;1.117,00;67:10:00;13;;67,17;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.26A;134,15;17;1.288,00;75:50:00;13;;75,83;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.01B;192,05;18;1.193,00;78:15:00;14;;78,25;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.02B;179,77;17;1.218,00;76:40:00;14;;76,67;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.05B;211,65;19;1.389,00;103:05:00;14;;103,08;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.06B;224,65;19;1.369,00;96:09:00;14;;96,15;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.09B;202,15;18;1.328,00;85:40:00;14;;85,67;RDO
2020;Janeiro;CTR MACAÈBAS;COLETA SELETIVA PMPV;CTR MACAÈBAS;CTR MACAÈBAS;35,51;;;;;;;RDO
2020;Fevereiro;CTR MACAÈBAS;COLETA SELETIVA PMPV;CTR MACAÈBAS;CTR MACAÈBAS;51,68;;;;;;;RDO
2020;Maráo;CTR MACAÈBAS;COLETA SELETIVA PMPV;CTR MACAÈBAS;CTR MACAÈBAS;42,53;;;;;;;RDO
2020;Abril;CTR MACAÈBAS;COLETA SELETIVA PMPV;CTR MACAÈBAS;CTR MACAÈBAS;55,69;;;;;;;RDO
2020;Maio;CTR MACAÈBAS;COLETA SELETIVA PMPV;CTR MACAÈBAS;CTR MACAÈBAS;53,45;;;;;;;RDO
2020;Junho;CTR MACAÈBAS;COLETA SELETIVA PMPV;CTR MACAÈBAS;CTR MACAÈBAS;43,93;;;;;;;RDO
2020;Julho;CTR MACAÈBAS;COLETA SELETIVA PMPV;CTR MACAÈBAS;CTR MACAÈBAS;54,63;;;;;;;RDO
2020;Agosto;CTR MACAÈBAS;COLETA SELETIVA PMPV;CTR MACAÈBAS;CTR MACAÈBAS;38,74;;;;;;;RDO
2020;Setembro;CTR MACAÈBAS;COLETA SELETIVA PMPV;CTR MACAÈBAS;CTR MACAÈBAS;33,03;;;;;;;RDO
2020;Outubro;CTR MACAÈBAS;COLETA SELETIVA PMPV;CTR MACAÈBAS;CTR MACAÈBAS;37,78;;;;;;;RDO
2020;Novembro;CTR MACAÈBAS;COLETA SELETIVA PMPV;CTR MACAÈBAS;CTR MACAÈBAS;30,02;;;;;;;RDO
2020;Dezembro;CTR MACAÈBAS;COLETA SELETIVA PMPV;CTR MACAÈBAS;CTR MACAÈBAS;22,42;;;;;;;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.11B;193,58;18;1.402,00;83:10:00;14;;83,17;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.13B;216,02;24;1.561,00;99:20:00;14;;99,33;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.15B;156,92;18;1.387,00;86:45:00;14;;86,75;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.16B;189,14;18;1.231,00;84:45:00;14;;84,75;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.18DB;175,10;19;1.378,00;103:55:00;14;;103,92;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.20B;187,73;18;1.310,00;74:50:00;14;;74,83;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.23B;159,93;22;1.655,00;83:35:00;14;;83,58;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.27B;146,32;18;1.276,00;79:55:00;14;;79,92;RDO
2021;Setembro;BARREIRO;COLETA VILAS E LOCAIS DIF. ACESSO;CONTRATADA;Vilas e locais de dif°cil acesso;375,81;;;;;;;RDO
2021;Setembro;BARREIRO;SERVIÄOS DE MULTITAREFA;CONTRATADA;Locais dep. Clandestina;376,27;;;;;;;RSU
2021;Setembro;BARREIRO;SERVIÄOS DE MULTITAREFA;CONTRATADA;Coleta URPV Cam. Carroceira Madeira;184,46;;;;;;;RSU
2021;Setembro;BARREIRO;COLETA CAÄAMBAS;CONTRATADA;URPV;1.596,10;;;;;;;RCC
2021;Setembro;BARREIRO;COLETA DEP.CLANDESTINA CARREG. MEC∂NICO;CONTRATADA;Locais dep. Clandestina;274,52;23;1.644,00;77:21:00;14;;77,35;RPU
2021;Setembro;BARREIRO;COLETA SELETIVA PMPV;COOPERATIVA;B.12CS;0,74;4;230,00;15:47:00;4;8;15,78;RDO
2021;Setembro;BARREIRO;COLETA SELETIVA PMPV;COOPERATIVA;B.18CS;1,46;4;294,00;14:23:00;4;8;14,38;RDO
2021;Setembro;BARREIRO;COLETA SELETIVA PMPV;COOPERATIVA;B.12CS;0,00;0;0,00;0:00:00;0;0;0,00;RDO
2021;Setembro;BARREIRO;COLETA SELETIVA PMPV;COOPERATIVA;B.18CS;0,44;1;103,00;5:05:00;1;2;5,08;RDO
2021;Outubro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.03A;157,29;14;1.268,00;65:25:00;13;52;65,42;RDO
2021;Outubro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.04A;215,91;18;1.468,00;91:00:00;13;52;91,00;RDO
2021;Outubro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.07A;208,83;18;1.545,00;96:10:00;13;52;96,17;RDO
2021;Outubro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.08A;227,64;19;1.636,00;86:25:00;13;52;86,42;RDO
2021;Outubro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.10A;277,22;24;2.162,00;115:05:00;13;52;115,08;RDO
2021;Outubro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.14A;189,09;17;1.427,00;84:30:00;13;52;84,50;RDO
2021;Outubro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.18DA;174,07;17;1.455,00;85:50:00;13;52;85,83;RDO
2021;Outubro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.19A;208,54;18;1.545,00;87:15:00;13;52;87,25;RDO
2021;Outubro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.21A;203,14;18;1.320,00;82:10:00;13;52;82,17;RDO
2021;Outubro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.22A;226,98;20;1.614,00;102:14:00;13;52;102,23;RDO
2021;Outubro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.24A;177,95;20;1.713,00;90:00:00;13;52;90,00;RDO
2021;Outubro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.25A;188,47;17;1.159,00;70:15:00;13;52;70,25;RDO
2021;Outubro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.26A;148,48;17;1.474,00;84:50:00;13;52;84,83;RDO
2021;Outubro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.01B;172,84;16;1.027,00;70:20:00;12;48;70,33;RDO
2021;Outubro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.02B;162,92;16;1.826,00;81:25:00;12;48;81,42;RDO
2021;Outubro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.05B;193,75;18;1.320,00;92:00:00;12;48;92,00;RDO
