Codigo unidade,Nome oficial,Nome popular,Area,Perimetro,Aberto,Legislacao,Cercamento,Telefone,Nome categoria,Ano criacao,Ano abertura,Endereco,Bairro popular,TGC,Regional,Zoneamento 2019,Bacia hidrografica
3002,Jardim Zoologico,,"1008414,29","5335,03",Sim,,Sim,3277-8489,Parque,1959,1959,"Av. Otacilio Negrao De Lima, 8000",Bandeirantes,P2,Pampulha,Preservacao Ambiental - 1,Bacia do Ribeirao do Onca
3003,Parque das Mangabeiras - Mauricio Campos,,"2547732,48","8688,01",Sim,"Decreto Municipal n°. 1.466/1966, Lei Municipal nº. 2.403/1974 e Lei Municipal nº. 11.386/2022",Sim,3277-8277,Parque,1966,1982,"Av. Jose de Patrocinio Pontes, 580",Mangabeiras,CS2,Centro-Sul,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3004,Parque Jacques Cousteau,,"370149,15","3326,27",Sim,"Decreto Municipal n°. 2.065/1971, Decreto Municipal n°. 2.939/1976 e Lei Municipal n°. 7.431/1998",Sim,3277-5972,Parque,1971,1999,"Rua Augusto Jose Dos Santos, 366",Estrela do Oriente,O4,Oeste,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3005,Parque Ecologico Roberto Burle Marx,Parque das Aguas,"172477,4","1688,68",Sim,Decreto Municipal n°. 2.939/1976 e Lei Municipal n°. 6.804/1994,Sim,3277-5968,Parque,1976,1976,"Av. Ximango, 900",Serra do Curral,B4,Barreiro,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3006,Parque Municipal Monsenhor Expedito D’Avila,Parque Julien Rien,"14628,53","600,42",Sim,Decreto n°. 3.921/1981 e Lei Municipal n° 11.524/2023,Sim,3277-8277,Parque,1978,1978,"Av. dos Bandeirantes, 911",Anchieta,CS2,Centro-Sul,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3007,Parque Municipal Ursulina de Andrade Melo,,"307174,64","2553,38",Sim,Decreto Municipal n°. 3.338/1978,Sim,3277-7112,Parque,1978,1996,"Rua Doutor Sylvio Menicucci, 640",Castelo,P2,Pampulha,Preservacao Ambiental - 1,Bacia do Ribeirao do Onca
3008,Parque Professor Guilherme Lage,,"124024,75","1665,87",Sim,Decreto Municipal n°. 4.241/1982,Sim,3277-8557,Parque,1982,1982,"Rua Padre Jose Alves, 665",Eymard,NE3,Nordeste,Preservacao Ambiental - 1,Bacia do Ribeirao do Onca
3009,Parque Municipal Fazenda Lagoa do Nado - Professor Ariosvaldo Campos Pires,,"313102,16","4058,87",Sim,"Decreto Municipal n°. 6.199/1988, Decreto Municipal nº. 3.568/1970, Decreto Municipal n°. 2.408/1973, Decreto Municipal n°. 7.173/1992, Lei Municipal n°. 3.842/1984 e Lei Municipal n°. 11.670/2024",Sim,3277-7883 / 3277-7321,Parque,1984,1994,"Rua Desembargador Lincoln Prates, 240",Itapoa,P1,Pampulha,Preservacao Ambiental - 1,Bacia do Ribeirao do Isidoro
3010,Parque Ecologico e de Lazer do Bairro Caicara,,"12430,46","622,55",Sim,Decreto Municipal n°. 6.484/1990,Sim,3277-8545,Parque,1990,1996,"Rua Do Tico-Tico, 100",Alto Caicaras,NO2,Noroeste,Preservacao Ambiental - 1,Bacia do Ribeirao do Onca
3011,Parque Juscelino Kubitschek,Parque do Acaba Mundo,"30542,87","848,37",Sim,Decreto Municipal n°. 6.545/1990 e Decreto Municipal n°. 7.400/1992,Sim,3277-8277,Parque,1990,1995,"Av. dos Bandeirantes, 240",Sion,CS2,Centro-Sul,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3012,Parque Jornalista Eduardo Couri,Parque Santa Lucia,"83835,56","1206,11",Sim,Decreto Municipal n°. 6.544/1990 e Lei Municipal n°. 7.415/1997,Sim,3277-4161,Parque,1990,1996,"Av. Artur Bernardes, 85",Santa Lucia,CS4,Centro-Sul,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3013,Parque Amilcar Vianna Martins,,"16905,05","514,64",Sim,Decreto Municipal n°. 6.543/1990,Sim,3277-4161,Parque,1990,2000,"Rua Cobre, 114",Cruzeiro,CS2,Centro-Sul,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3014,Parque Orlando de Carvalho Silveira,,"24602,02","668,61",Sim,Decreto Municipal n°. 6.548/1990,Sim,3277-5746,Parque,1990,1996,"Rua Jurua, 860",Silveira,NE5,Nordeste,Preservacao Ambiental - 1,Bacia do Ribeirao do Onca
3015,Parque Alexander Brandt,,"12331,83","511,82",Sim,Lei Municipal n°. 5.765/1990 e Decreto Municipal n°. 7.233/1992,Sim,3277-5520,Parque,1990,1992,"Rua Joaquim Goncalves Da Silva, 67",Rio Branco,VN3,Venda Nova,Preservacao Ambiental - 1,Bacia do Ribeirao do Isidoro
3016,Parque Aggeo Pio Sobrinho,,"612346,88","9430,56",Sim,Lei Municipal n°. 5.755/1990 e Lei Municipal n°. 9.558/2008,Parcial,3277-6828,Parque,1990,1996,"Av. Professor Mario Werneck, 2691",Buritis,O5,Oeste,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3017,Parque Ecologico e Cultural Professor Marcos Mazzoni,,"13718,52","632,09",Sim,Decreto Municipal n°. 6.672/1990 e Lei Municipal n°. 8.606/2003,Sim,3277-5621,Parque,1990,1990,"Rua Deputado Bernardino de Sena Figueiredo, 1022",Cidade Nova,NE5,Nordeste,Preservacao Ambiental - 1,Bacia do Ribeirao do Onca
